type,title,description,priority,status,sprintId,storyPoints,dueDate,assigneeId,linkedKrId
Epic,Tối ưu FE & Cloudflare xử lý triệt để lỗi Proxy,Đã xử lý xong file JS lớn và chuyển đổi định dạng ảnh webp. Lỗi đã giảm xuống <10%.,Urgent,Done,sprint-1-id,13,2026-03-28,user_Khoa,kr-1.1-id
TechTask,Xin quyền Ads Standard App FB v1 & v2,Đã gửi video review và xin thành công quyền cho 2 app đầu tiên.,High,Done,sprint-1-id,5,2026-04-01,user_Phong,kr-1.2-id
Epic,"Phát triển tính năng ""Aha Block"" (UI & Logic)","Chủ nhật đã review code, Thứ 2 (13/4) tiến hành Deploy lên Production.",Urgent,Review,sprint-2-id,21,2026-04-14,user_Khoa,kr-1.3-id
TechTask,Xin quyền App FB v3 & v4,Đang quay video review để xin quyền page_metadata. Sẽ gửi xin cách ngày để tránh Meta nghi ngờ.,Medium,In Progress,sprint-2-id,8,2026-04-16,user_Phong,kr-1.2-id
Epic,Hoàn thiện MVP SMIT Chat (Bản 80%),Chiều thứ 3 (14/4) sẽ có bản MVP. Thứ 5 hoàn thiện 100% trải nghiệm và logic để test.,High,Review,sprint-2-id,21,2026-04-16,user_Hoang,kr-2.2-id
TechTask,Tích hợp PostHog & In-app Tracking,Đã đấu nối FE. Đang mắc ở khâu tracking event rơi rớt vì web chưa chốt khung (chờ MKT).,High,In Progress,sprint-2-id,8,2026-04-15,user_Phong,kr-1.4-id
TechTask,Nghiên cứu tính năng Quản lý Page & Super Share,Nghiên cứu tính khả thi của API. Estimate thời gian hoàn thành luồng này.,Medium,To Do,sprint-2-id,5,2026-04-18,user_Truong,kr-2.1-id
TechTask,Triển khai AI Review Code tự động,Setup Agent tự động check bug trước khi merge code vào nhánh chính trên Github.,High,In Progress,sprint-2-id,13,2026-04-17,user_Phong,kr-3.2-id
UserStory,Đấu API hiển thị tỷ giá ngoại tệ theo ngày,Cập nhật luồng đổi tỷ giá tiền tệ realtime theo API ngân hàng.,Low,To Do,sprint-2-id,3,2026-04-19,user_Hoang,kr-2.2-id
,,,,,,,,,
Campaign,Tái cơ cấu ngân sách & Nội dung Facebook Ads,"Rà soát toàn bộ nội dung QC cũ, phân bổ lại ngân sách. Đã chốt khung Q2 và tái cơ cấu xong.",High,Done,sprint-1-id,,2026-04-05,user_Canh,kr-1.2-mkt
MktTask,Lên Brief kịch bản chi tiết 4 tuyến nội dung UGC,"Hoàn thiện bảng thông tin, brief kịch bản cho 4 nỗi đau để gửi sang đội Media và KOLs.",High,Done,sprint-1-id,,2026-04-02,user_Canh,kr-1.1-mkt
MktTask,Nuôi và làm ấm tài khoản forum BlackHatWorld,"Hoàn thành 10 bài đầu tiên trên diễn đàn, tương tác tránh bị band account để chuẩn bị test Global.",Medium,Review,sprint-1-id,,2026-04-12,user_Canh,kr-2.1-mkt
Campaign,Thiết kế Wireframe 5 Landing Pages Ads,Gửi wireframe nội dung chi tiết 5 Landing Pages mới cho đội thiết kế.,High,In Progress,sprint-2-id,,2026-04-15,user_Canh,kr-1.1-mkt
MktTask,"Setup Tracking In-app & Web (GA4, Pixel)",Gửi tài liệu khung Tracking in-app cho Dev. Đang chờ chốt khung UI Web để triển khai.,Urgent,To Do,sprint-2-id,,2026-04-16,user_Canh,kr-1.1-mkt
Campaign,Scale ngân sách Ads 20-30%,"Tăng 20-30% budget cho 2 case nội dung tốt nhất (recv474i9g, recv5U3lw).",High,To Do,sprint-2-id,,2026-04-14,user_Canh,kr-1.2-mkt
MktTask,Triển khai 15 post nội dung mới + Video,Lên 15 post mới và 3-5 video ads theo chủ đề lợi ích nhanh.,Medium,In Progress,sprint-2-id,,2026-04-19,user_Canh,kr-1.1-mkt
,,,,,,,,,
MediaTask,"Mua và setup công cụ AI (VidIQ, CapCut Pro)",Đã giải ngân và setup xong tài khoản cho cả đội để tăng tốc hậu kỳ.,Medium,Done,sprint-1-id,,2026-03-30,user_Long,kr-2.1-media
MediaTask,Sản xuất TVC Sự kiện (Hoàn thành Demo v1),Đã xong tiền kỳ và có bản Demo v1. Chờ duyệt để chỉnh sửa final.,High,Review,sprint-1-id,,2026-04-10,user_Long,kr-1.1-media
MediaTask,Quay dựng đợt 1 Video UGC & Case Study,Chờ tiếp nhận Brief Kịch bản chi tiết từ phòng Marketing để tiến hành quay dựng.,High,To Do,sprint-2-id,,2026-04-18,user_Long,kr-2.2-media
MediaTask,Quản lý & đăng 33 Video TikTok,"Sản xuất và đăng 2 video ngắn mỗi ngày, follow bình luận để kéo tương tác kênh.",High,In Progress,sprint-2-id,,2026-04-19,user_Long,kr-1.2-media
MediaTask,"Thiết kế Layout PDF, Avatar/Cover Sale Kit",Phục vụ trực tiếp cho đội Sale đi đánh Outbound.,Medium,To Do,sprint-2-id,,2026-04-17,user_Long,kr-2.1-media
,,,,,,,,,
SaleTask,Xử lý data tồn đọng SCRM sau Tết,"Xử lý 70% sub mới, đa số là khách Adscheck click sang SMIT.",High,Done,sprint-1-id,,2026-04-05,user_Hue,kr-1.2-sale
SaleTask,Xây dựng Gem AI hỗ trợ soạn kịch bản,"Tạo AI Agent hỗ trợ viết bài, dịch ngoại ngữ để chát với khách.",Medium,Done,sprint-1-id,,2026-03-28,user_Nhung,kr-2.2-sale
Deal,Deal Khách hàng Nelly (All In One),"Đã demo xong, khách chốt gói All in One ngân sách 500 Tỷ/20.000 TKQC. Đang chờ Tech test nốt yêu cầu custom.",Urgent,Review,sprint-2-id,,2026-04-15,user_Hue,kr-1.1-sale
Deal,Deal Anh Minh (40 Tỷ),"Đã tiến hành demo, khách đang giao nhân sự dùng thử nhưng chưa mặn mà lắm. Cần follow sát.",High,In Progress,sprint-2-id,,2026-04-17,user_Nhung,kr-1.1-sale
SaleTask,Hunting KH mới trên BlackHatWorld,Tìm thông tin khách hàng nước ngoài trên diễn đàn BHW và tiếp cận.,Medium,In Progress,sprint-2-id,,2026-04-19,user_Hue,kr-1.3-sale
SaleTask,Gọi kịch bản xin Referral (Cu2Cu),Lọc khách hàng cũ đang dùng tốt để xin lời giới thiệu.,High,In Progress,sprint-2-id,,2026-04-16,user_Nhung,kr-1.2-sale
Epic,Vẽ luồng UI/UX S-CRM v2 (VibeCode),(Quân làm) Thiết kế 100% bản vẽ luồng S-CRM v2 để bàn giao đội Tech vào 30/04.,Urgent,In Progress,sprint-2-id,,2026-04-30,user_Quan,kr-2.3-sale